ID,date_time,title,how clickbait this title is
et_3028,2018/11/6,【倒數19】民進黨地推喚醒沈默支持者　移防高雄準備揭穿韓國瑜,1
ct_4222,2018/11/6,苗栗》繼3大莊嚴承諾 徐定禎再拋5大公產活化計畫,3
ltn_8373,2018/11/24,丁守中、柯文哲票數拉鋸 網友問：1500元是台北價值？,2
ct_5009,2018/11/12,新竹》謝文進陣營批林智堅是「作秀市長」,1
ct_3385,2018/10/30,高雄》英籍富商參加反併吞遊行挺其邁 被陳支持者打斷牙,1
et_4880,2018/11/22,影／姚文智2萬人前公審！高嘉瑜「8字回應」深夜PO文　網看完超心疼,5
et_4046,2018/11/16,網拍名模「小蒜」幫舅舅謝立功站台　網瘋：我戀愛了,5
et_2014,2018/10/24,即／關掉ATP或許想更準點　王國材：尤姓司機非常負責,2
et_3635,2018/11/12,小野淚謝柯文哲　朱學恒嗆：文化人不懂了不起負責嗎？,3
et_3813,2018/11/14,影／紙風車執行長李永豐挺陳其邁：一起來在乎高雄,1
ct_2488,2018/10/20,台北》柯文哲行動競總違規停放公園 北市府祭出兩張罰單,1
ct_4547,2018/11/8,台北》遭爆因政治獻金問題被罰 姚文智團隊：禁得起考驗,2
ltn_3898,2018/10/30,可直攻北京！傳雲峰中程飛彈明年量產 部署北、中部,2
et_3378,2018/11/10,嗆民進黨完全放水陳水扁　丁守中：法務部長根本應該為這事情下台,1
ct_3200,2018/10/28,台中》有別於傳統！子女為吳瓊華披彩帶 展現未來寄望,1
et_4266,2018/11/18,超級星期天／黃偉哲府城造勢　2萬人反抹黑挺台南,2
et_1289,2018/10/9,影／反特攻地空演練！國軍出動最強阿帕契　IDF、雲豹、勇虎聯合滅敵,2
et_455,2018/9/26,「誰摔死了李新？」女友郭新政找盛竹如客串　類戲劇公布真相,4
ltn_2700,2018/10/18,彰化縣最幸福的鄉鎮長就是他  原因是‧‧‧,5
et_4487,2018/11/20,不跟時力「友柯」　吳崢：我會投給姚文智,2
ltn_3877,2018/10/29,無知又荒唐  林濁水：韓國瑜是「連勝文2.0」,2
ct_4764,2018/11/10,獸醫師動保團體力挺 侯友宜要打造毛寶貝友善城市,1
ct_48,2018/9/24,民調微升 林濁水：賴揆提前再見危機或可解除,1
ct_5708,2018/11/17,丁守中打都更市長牌 赴萬華艋舺掃街力推老社區都更,1
ct_4294,2018/11/7,台中》智庫民調出爐 盧秀燕35.7％ 林佳龍28.7％,1
et_4481,2018/11/20,談4年歷經勞工問題　賴香伶：遇到挫折就會想起柯文哲一句話,4
et_784,2018/10/2,影／3分鐘全紀錄！碧雲禪寺7天拆光　魏明谷：一定追討490萬,3
et_3740,2018/11/13,影／丁守中推廣告「我無趣但有用」　柯文哲酸：真的很無趣,2
ct_6506,2018/11/22,新竹》謝文進寺廟之旅遊街 23日前進東門城,1
et_4053,2018/11/16,影／韓粉變心了...她批政見天馬行空　「韓國瑜是草包嗎？」,3
et_2032,2018/10/25,林義豐「超本土」政見聽攏嘸！網友掀國台語論戰：叫龍介來,3
ltn_4688,2018/11/5,民進黨雲縣黨部開除違紀輔選 24年黨齡的他不服,4
ltn_8349,2018/11/24,林佳龍宣布敗選  籲民眾支持新市長盧秀燕,2
ltn_8357,2018/11/24,台北終於全部投完票了！ 柯文哲、丁守中持續拉鋸,4
et_2513,2018/10/31,頭份市代主席反同「不要害我們下一代」挨轟　刪文稱：無歧視同志,2
ltn_3857,2018/10/29,新北母雞帶小雞 中市議員候選人北上同框侯友宜,1
ltn_7250,2018/11/20,連江縣長樹黨候選人蘇柏豪 發布5種語言競選影片,3
et_3970,2018/11/15,影／韓粉齊唱「夜襲」嗨翻高捷　洪孟楷：真愛韓國瑜應注意3件事,4
et_954,2018/10/4,獨／侯友宜總部設最夯IG列印機！拍照打卡還能印網美照,1
ct_1031,2018/10/5,台南》高思博學甲掃街拜票  居民熱情相挺,1
ltn_567,2018/9/29,特權？ 盧秀燕宣傳車停警所車位 警：非獨厚任一參選人,2
ct_4118,2018/11/6,高雄》為選民做事 新中里長盼改變選風,1
ct_1458,2018/10/10,籲北京扮演良性角色 蔡英文：不會升高對抗 也不會屈從,2
ltn_4854,2018/11/6,蘇煥智砲打「崑陵山案」 黃偉哲：遺憾遺憾再遺憾,2
ct_4713,2018/11/10,掛韓國瑜看板房東嗆解約　便當店老闆不從徵店面,1
ct_580,2018/10/1,高雄》陳其邁稱國民黨虧欠高雄人　網譏：馬英九下台！,3
et_2396,2018/10/30,韓國瑜說高雄老又窮讚苗栗會拼經濟　網酸：神嘴邏輯跟不上,2
et_155,2018/9/21,影／領陸居住證公民權恐被限　柯文哲籲比照綠卡：平常心就好,2
et_3148,2018/11/8,空汙不只境內污染　林佳龍：今天台北也沒比較好,2
ct_540,2018/9/30,媒體揣測潛艦各方分食利益 海軍：均依法行政杜絕弊端,3
ltn_6151,2018/11/14,又是「伍佰」！ 檢察官給涉案候選人2條路走?,4
ct_2024,2018/10/16,國民黨史上最團結  全台年輕議員參選人大串聯,1
et_592,2018/9/29,10公投誰能闖關？中選會陸續彙整結果　最快10/2有答案,3
et_597,2018/9/29,盧秀燕市場拜票　蔣萬安擔綱直播小編,1
ltn_7633,2018/11/22,段宜康再轟侯友宜財產問題   爆侯用盡資源找繼承人捧錢買土地,1
ct_740,2018/10/2,陸委會：修法研議禁止拿大陸居住證者選立委,1
et_3547,2018/11/12,台南政見會／6人角逐市長寶座　黃偉哲遭大創案緊咬,1
ct_831,2018/10/3,台北》葛特曼指柯文哲是騙子 宋楚瑜斥：外國人不要干預我們選舉,2
ct_980,2018/10/5,花蓮》吉安鄉長選舉三足鼎立  無黨邱展謙打網路戰,3
et_1277,2018/10/9,音樂公司急切割！　丁守中洗腦Rap競選歌曲非原版,3
ct_4295,2018/11/7,嘉義》空氣品質紅色警戒 吳芳銘提「清新晴空計畫」,1
ct_3457,2018/10/31,台北》聲援婦聯會挨批 柯P僅認「過度推論」願道歉,2
et_1415,2018/10/20,影／行動競總違規挨批帶頭違法　柯文哲：事前問都跟我說可以啊,2
ltn_7161,2018/11/20,稱柯文哲欠缺訓練 吳蕚洋：他能超越我與過去數任總統,2
ltn_3468,2018/10/25,批民進黨忽略國家慶典 謝文進與民包水餃慶光復節,2
ct_1160,2018/10/7,侯友宜「最硬電音趴」大秀RAP 同手同腳嗨翻全場,2
et_4214,2018/11/17,新住民10年才能投票？　內政部點出關鍵在有沒有身分證,3
ct_6156,2018/11/20,台中》尋求五連霸的曾朝榮 擔心選票被瓜分打出「告急牌」,4
ct_5694,2018/11/17,新北》蘇貞昌不甘被比下去哽咽  李來希轟：全執政了還在騙,2
ct_6120,2018/11/20,台中》投票前先看清楚！中市選委會：投開票所內不提供公投選擇諮詢,1
ltn_2187,2018/10/14,「老縣長」惹蘇支持者不開心 侯友宜：很多人也叫我老署長,2
ltn_6704,2018/11/17,超級星期六 謝文進辦萬人造勢晚會,1
ct_1481,2018/10/10,丁守中競選總部成立：贏回台北才能強力制衡民進黨政府,2
ltn_2352,2018/10/15,「我有上萬票，你如何處理…」  陳永和報案遭選舉恐嚇,4
ct_1759,2018/10/13,建中生赴陸綠委提《反滲透》立法 民進黨怕了？,4
ltn_2036,2018/10/12,深澳不建了 蘇辦籲對手勿再消費深澳,2
ltn_7120,2018/11/20,吳釗燮 出席台馬建交20年活動,1
ct_3611,2018/11/1,太平島進行實彈演習  丁守中：是不是奧步我們正在仔細觀察,1
et_2923,2018/11/5,影／2018全國「菜市場名」排行出爐　這對男女組合又奪冠...2029人叫書豪,5
ct_5898,2018/11/18,台南》虧雞福來爹現身下營市場 粉絲求合照來者不拒,2
ltn_7677,2018/11/22,選前之夜沒有政治人物 韓國瑜陣營今公布內容,3
ct_4339,2018/11/7,台北》遭丁守中批門神 小野痛哭反擊「看到人心最黑暗一面」,2
ct_2410,2018/10/19,潛艦國造頻被爆料 海軍坦承合法範圍內運用非正式管道,2
ct_4011,2018/11/5,高雄》加碼200份雞排！宅神感動：連總統都出來挽救,2
ct_500,2018/9/30,台北》認同卡夯 柯P：好聽的歌聽久了大家會喜歡聽,2
ltn_7288,2018/11/20,賄聲賄影 彰化縣議員、代表現身地檢署控告造謠者,2
et_4963,2018/11/23,兵臨高雄城／韓粉超過15萬人！　摩天輪翻轉「2萬人溢出會場」,3
et_1575,2018/10/18,再推動態貼圖　蘇貞昌大讚：台灣創意全世界名列前茅,3
ltn_5654,2018/11/12,新北蘇貞昌、侯友宜政見辯論會上午10點直播...,2
et_3778,2018/11/13,北市選戰是「學歷戰爭」　美麗島民調「大學學歷」52%挺柯文哲,2
et_843,2018/10/3,再打陳金德？農舍發照浮濫逾6千件　監委要宜蘭縣檢討改進,2
ct_2143,2018/10/17,花蓮》議員第二選區4搶2 鄉長對決3鄉代,1
ltn_3061,2018/10/21,台灣民意基金會民調：柯P支持度42.1％、藍綠支持者遭裂解,2
ltn_2346,2018/10/15,出示照片控柯文哲   姚文智指與疑涉器官活摘醫師交好,3
ct_5724,2018/11/17,新竹》歷時2個月吸引近1萬人次 林智堅的陸戰法寶就是它,4
et_3023,2018/11/6,新竹縣長最新民調　徐欣瑩持續領先、楊文科居次,2
ct_6210,2018/11/20,南投》怎超人也需吃藥？劉啟帆、施怡真拜票喊到喉痛燒聲,1
et_527,2018/9/28,盧秀燕拚台中市長　邀4女立委組發言人團,1
ltn_3140,2018/10/21,饒慶鈴競總成立  拜託選民不要讓台東縣政府成為台東東廠,2
ltn_3143,2018/10/21,挨批選舉才學客家話 侯友宜：簡單問候語不成問題,2
et_2685,2018/11/2,影／「我領導的政府不會違法限制自由」　蔡英文：臉書歡迎各種留言,3
ct_236,2018/9/26,桃園》楊麗環下戰帖辯婦女政策 鄭文燦：政見發表會再說,2
ltn_3666,2018/10/27,陪陳學聖夜市拜票 馬英九：「韓流」外溢有助桃園翻轉,2
et_176,2018/9/21,賴清德：促轉會不會因「個別事件」改變公正的角色,4
ltn_1759,2018/10/10,國慶演說 總統讚美賴揆「做實事」：已改善產業投資環境,4
ltn_8225,2018/11/24,投票龜速實測等71分 彰縣臨時加開公投圈票處,1
ct_4620,2018/11/9,新竹》謝文進發布政策CF 批林智堅不做  謝文進來做,2
ct_3576,2018/10/31,候選人變身科學小飛俠 拜票超吸睛,3
ct_6318,2018/11/21,新北》侯友宜新莊掃街 大觀社區自救會攔車抗議,2
ct_1467,2018/10/10,挺魏德聖代言的跑壘活動 嘉市3選將同台跳健康操,3
ltn_4172,2018/11/1,獨家》德國史塔西檔案局：鼓勵國民黨面對應負的責任,2
et_526,2018/9/28,誰摔死了李新？李柏毅說話了：希望我的父親一年後可以安心離開,4
et_5246,2018/11/24,新竹縣長選舉　國民黨楊文科守住藍營淨土,2
ltn_1836,2018/10/10,蘇貞昌讚鄭文燦、林右昌 「選他們當市長比養孩子孝順」,2
ct_4889,2018/11/11,高雄》白玉苦瓜在此 高嘉瑜還韓國瑜公道,2
et_2593,2018/11/1,解放軍接手訊息戰打癱瘓攻擊？國安局：中共對台灣沒有手軟過,3
ct_4382,2018/11/7,高雄市六龜觀光休閒協會發表聲明：堅定支持陳其邁,2
ct_1473,2018/10/10,花蓮》花蓮國慶煙火祈福出包 蔡碧仲苦等城隍爺半小時,1
et_775,2018/10/2,影／修法管制假新聞　賴清德：大陸是最大亂源,2
ltn_2932,2018/10/20,新竹靖廬下週三熄燈,1
ct_3318,2018/10/29,聲援婦聯會惹議  柯P道歉止血「我會檢討」,2
ltn_7741,2018/11/22,陳菊首次陪同陳其邁掃街 籲守護高雄價值別再霸凌仇恨,2
ltn_6523,2018/11/16,台南政見會》最終戰6缺1 獨缺高思博,2
ltn_7347,2018/11/21,「我是新北市民我支持蘇貞昌」小英：跟他衝一定來得及！,2
ltn_1536,2018/10/8,選舉文宣品挖空心思 菜瓜布、口罩紛紛出籠,2
ct_1116,2018/10/6,台北》丁守中質疑柯文哲 連電扶梯啟用也剪綵,3
ltn_8169,2018/11/24,南投排隊投票平均30分鐘 選民酸：另類總統級待遇！,3
ct_2498,2018/10/20,幾個老人欺負菜鳥小編還打輸 宅神： 民進黨們丟不丟人,3
et_4635,2018/11/21,九歲父自焚　鄭南榕女兒聲音顫抖：我沒辦法聽著人家喊侯友宜當選,4
ltn_2877,2018/10/19,她連3屆抽中14號現賺1萬5  數學老師：機率只有1/13005,3
et_98,2018/9/22,影／怎拆解台東選情炸彈！馬英九喊機密　吳敦義馬上說出來,5
et_3024,2018/11/6,九合一綁10公投票要領幾張？3張懶人圖跟著走就對了　　,5
ltn_4737,2018/11/6,李慶華涉貪 無故不到庭 將拘提,2
ct_4043,2018/11/5,桃園》陳學聖指控桃園市府偽造文書 圖利建商六億,1
ltn_5573,2018/11/11,反空污遊行 雲林無黨籍大串連上街頭,2
ct_5599,2018/11/16,喝咖啡聊正事 我與APEC會員國互動多,3
ct_2981,2018/10/26,影》 韓國瑜官方Line貼圖 衝上排行榜第一,3
ct_1061,2018/10/5,台中》林佳龍簽承諾書 2020年PM2.5年均值降至15微克,2
ct_478,2018/9/29,桃園》柱柱姐：陳學聖是贏得龜兔賽跑的忍者龜,2
ltn_7440,2018/11/21,三立護唇膏讓韓國瑜喉嚨痛！電視台喊告 謝寒冰不怕再嗆,3
et_1603,2018/10/18,北市洲美街暫定古蹟疑遭「誤拆」　監察院：深入調查釐清責任,3
ltn_5809,2018/11/13,首都市長爭奪戰》市府前秘書長挺姚 柯︰不會「切心」,2
ct_2639,2018/10/22,賴揆指示政委吳澤成專案調查  今午抵普悠瑪現場了解,2
ltn_2405,2018/10/16,再批「營養午餐免錢」政策   陳金德：林姿妙沒資格當縣長,2
ltn_2037,2018/10/12,停建深澳電廠 綠委讚：讓台灣環境更好,2
et_549,2018/9/28,中秋聯歡會人人有1萬拿？北農澄清：僅發5000元禮券,3
et_4859,2018/11/22,鄭竹梅喊話「怎麼看鄭南榕自焚？」　侯友宜回應這7字,5
et_5201,2018/11/24,強打3政見奏功　盧秀燕贏得台中市長,4
et_1795,2018/10/21,即／普悠瑪翻覆釀18死！　馬英九晚間急赴羅東醫院探視傷患,2
ct_3229,2018/10/28,嘉市》嘉義市長涂醒哲做了這件事 助選員稱「賊仔不支持」,4
ltn_4033,2018/10/31,遭新北市府圍攻？ 蘇貞昌引《倚天屠龍記》：我自一口真氣足,4
ct_2456,2018/10/19,用心傾聽 林盈徹與林智堅赴香山與民座談,1
et_4909,2018/11/23,兵臨高雄城／韓國瑜宣布「當市長要做3件事」：若我貪污絕不假釋,4
ct_1230,2018/10/8,高雄》到陳致中鐵票區造勢　一支影片看出韓國瑜人氣,4
ltn_300,2018/9/27,挺轉型正義 政治受難者團體踢館：「東廠」名號奉還給國民黨,2
et_3939,2018/11/15,施俊吉點名嗆假訊息　吳敦義變臉：蔡英文這兩年加起來有10.63%？,2
et_4451,2018/11/19,吳敦義母豬說影響選情？侯友宜：傷害我的核心價值,2
ltn_8348,2018/11/24,民進黨嘉義市長涂醒哲連任失敗  自行宣布敗選,1
et_4526,2018/11/20,藍綠大和解！「韓其邁」橫空出世　網笑到求饒： 不要亂玩啦,3
et_4733,2018/11/21,影／支持者買半版廣告拉票　柯文哲：外面的義勇軍啦,2
ct_659,2018/10/2,鐵路地下化警力拉警報 綠營參選民代籲增加,2
ltn_8380,2018/11/24,敗選但不後悔！姚文智：不放棄追求台灣成為獨立國家,2
et_3984,2018/11/15,影／正妹韓粉露肩T超吸睛　連夜畫「瑜你同在」熱情爆表,4
ct_2104,2018/10/17,基隆》實力接近！七堵區議員選情吃緊,2
ltn_3320,2018/10/24,澎湖縣長個人債務 延燒至藍綠攻防戰,1
ltn_1626,2018/10/9,批國慶典禮「台灣共好」  洪秀柱：民進黨準備成立台灣國,2
et_4819,2018/11/22,皇帝不急太監急！佛系許明財樂當苦行僧　深信選民看得懂,2
et_3509,2018/11/11,林明溱「上千就業機會」吸北漂　洪國浩和地方青年推「老幼共托」,3
ct_2808,2018/10/24,台北》遭郝龍斌批公宅割稻尾 柯P重申發包、工程量是郝4倍,2
ct_3617,2018/11/1,台南》大創供應商再控黃偉哲騙取3千萬 藍委要求退選,2
ltn_7208,2018/11/20,痛批旺中媒體霸凌 姚文智揉爛報紙丟垃圾桶,3
et_4728,2018/11/21,大推本土化TGOS　陳宗彥：手機App功能幾乎都綁地圖,3
ltn_1156,2018/10/4,反空污公投連署高市6成4不合格？ 藍營：中選會違法認定,2
et_1159,2018/10/7,葛特曼槓上柯文哲　蘇煥智：他是國際人權鬥士！應要有禮節,2
ltn_4376,2018/11/2,嘉市也「虧雞」 蕭淑麗辦電音趴高喊世代交替,2
et_4740,2018/11/21,影／金馬兩岸風波刺激藍綠回流　柯文哲坦言選情緊繃,2
et_129,2018/9/22,中梵傳下週簽協議　外交部：外交不是零和遊戲,3
ct_1512,2018/10/10,《中時晚間快報》假消息製造亂象 蔡英文：罪證確鑿嚴辦到底,3
et_3439,2018/11/10,網友問「幕僚可以跟你女兒交往嗎？」　侯友宜妙回：不要現在,3
ct_2902,2018/10/25,新北》光復節新黨新北鐵三角祭拜抗日義俠廖添丁 矢言為民前鋒行俠仗義,2
ltn_5876,2018/11/13,桃市長政見發表會 吳富彤：國、民二黨都是騙人的,2
ltn_1761,2018/10/10,前駐多明尼加大使湯繼仁昏厥送醫 聯醫：已轉送台大醫院,3
ltn_1354,2018/10/6,百工百業挺改革  蘇貞昌：要讓新北更新更好,2
ct_4378,2018/11/7,賴揆：廉政反貪研議導入ISO 37001企業反賄賂管理機制,1
ltn_5580,2018/11/11,凱道造勢 丁守中：我們都是中華民國派,1
ltn_5212,2018/11/9,力挺東奧正名 姚文智：退卻將永遠沒機會,2
et_5231,2018/11/24,不斷更新／狂得73萬票讓總部放煙火！盧秀燕宣布當選！,2
et_802,2018/10/2,悍馬車魔咒？不只成友邦「分手車」　還讓外交部、國防部吵翻,2
ct_6994,2018/11/24,高雄》陳其邁敗選 支持者落寞,2
ct_5269,2018/11/14,中研院缺額4年增加逾百名,1
ltn_4509,2018/11/4,侯頻為爭議人物站台 蘇貞昌批：葷素不忌,2
ct_2691,2018/10/22,高雄》韓國瑜捐血 宣布競選活動暫停數日,1
et_136,2018/9/22,徐欣瑩不簽認同卡、支持發敬老金　柯文哲仍「站好站滿」,2
ltn_4819,2018/11/6,嘉市議員候選人涉賄選引楊逵著作辯解  選民批不倫不類,2
et_3331,2018/11/9,讚姚文智堅持4年才選市長　游錫堃：這是最受敬佩的地方,2
ct_4453,2018/11/8,藍委推動無煤家園 綠委質疑：想恢復核電嗎？,3
et_4954,2018/11/23,3分鐘看懂10公投！他白話解釋「阿嬤一看都會了」　帶緊小抄神速蓋完,4
et_3724,2018/11/13,簽約2019亞洲有機青年論壇　朱立倫：不管誰任下屆市長都會推動好政策,2
ct_5560,2018/11/16,台北》柯媽罵哭姚文智　郝龍斌酸：柯文哲是道地媽寶,2
ct_1568,2018/10/11,賴揆指示施俊吉召集財金部會 穩定金融市場,1
ltn_3970,2018/10/30,姚文智批丁守中也是政治軟絲 丁反擊：拚台獨對經濟有好處？,2
ltn_121,2018/9/25,深澳電廠爭議  鄭文燦：不能讓沒有資料的蘇貞昌去辯護,2
ltn_2408,2018/10/16,劉櫂豪倡設南島文化園區 明天請總統加持,1
ct_5452,2018/11/15,台南》新一波文宣出爐　蘇煥智陣營緊咬黃偉哲弊案,2
et_399,2018/9/26,oBike違停問題嚴重！北市府強力執法　3個月拖1302輛oBike,2
ct_221,2018/9/26,參與張天欽東廠會議 促轉會不建議處分許君如,2
ltn_6692,2018/11/17,竹縣白米賄選案爭議延燒 徐欣瑩陣營將提告,2
ct_4621,2018/11/9,高雄》韓國瑜與初戀女友約會唱《夜襲》 結果GG了,4
et_4412,2018/11/19,影／陳陣營「當年走路工是事實」　韓陣營：假消息多不排除提告,3
ltn_1789,2018/10/10,虧雞、偉哲都設概念館 高思博：具體牛肉較重要,2
